ID_ALUNO;REGIAO;UF;SEXO;COR_RACA;IDADE;MORA_MAE;MORA_PAI;MERENDA;FOME;CIGARRO;ALCOOL;DROGAS
263;1;11;1;4;15;1;2;1;1;2;1;2
264;1;11;2;1;15;2;1;5;1;2;1;2
265;1;11;1;4;15;1;1;3;1;2;1;2
266;1;11;1;1;17;1;1;5;1;2;2;2
267;1;11;1;2;15;1;2;5;3;2;2;2
268;1;11;1;1;15;1;1;4;1;2;1;2
269;1;11;2;1;14;1;1;5;2;2;2;2
270;1;11;1;3;13;1;1;4;1;2;2;2
271;1;11;1;2;16;1;2;4;1;1;1;1
272;1;11;1;1;15;2;1;5;1;2;2;2
273;1;11;1;4;15;1;1;4;1;2;2;2
274;1;11;1;2;15;1;1;5;1;2;1;2
275;1;11;1;1;15;1;2;4;1;2;2;2
276;1;11;2;4;14;1;2;5;1;2;1;2
277;1;11;1;2;14;1;2;4;1;2;2;2
278;1;11;1;4;13;2;2;-1;2;2;1;2
279;1;11;2;4;14;1;2;1;1;1;1;1
280;1;11;2;3;15;1;1;4;1;2;1;2
281;1;11;1;4;13;1;1;4;1;2;2;2
282;1;11;2;1;14;1;2;1;1;2;1;2
283;1;11;1;4;14;1;1;1;1;2;1;2
284;1;11;1;5;15;1;1;1;1;2;1;2
285;1;11;2;4;13;1;1;4;1;2;2;2
286;1;11;1;1;14;1;1;3;1;2;1;2
287;1;11;1;2;14;1;1;4;1;1;2;2
288;1;11;1;4;14;1;2;1;3;1;1;2
289;1;11;2;4;16;1;1;1;4;2;1;2
290;1;11;1;4;14;1;2;1;1;2;1;2
291;1;11;2;4;15;2;2;5;3;1;1;2
292;1;11;1;4;14;1;1;4;2;2;1;2
293;1;11;2;1;13;1;1;2;1;2;1;2
294;1;11;2;1;15;1;1;1;1;2;1;2
295;1;11;1;4;15;1;2;-1;2;2;2;2
296;1;11;1;1;14;1;1;3;1;2;1;2
297;1;11;1;1;14;1;2;4;2;2;2;2
298;1;11;2;4;14;1;1;2;1;1;1;2
299;1;11;2;1;13;1;1;3;1;2;1;2
300;1;11;2;1;15;1;1;4;1;1;1;2
301;1;11;2;4;14;1;1;4;1;2;2;2
302;1;11;2;1;15;1;1;5;1;2;1;2
303;1;11;1;4;16;1;1;5;1;2;1;2
304;1;11;2;1;15;1;2;2;1;2;2;2
305;1;11;2;4;17;1;1;1;1;2;2;2
306;1;11;2;4;16;1;1;1;1;2;2;2
307;1;11;2;4;15;2;2;1;3;1;1;2
